Review Rate,Review Time,Review Text
 1 ster ,een maand geleden,"Ik besteld altijd mijn pizza, maar omdat er dit keer iets mis is gegaan met de bestelling. Krijg ik heel onbeleefd “dus fijne avond” word niet eens verder gevraagd of achterhaald waar mijn geld naartoe is gestort. Wordt niet gedacht in oplossingen heel jammer! Geld kwijt en geen eten ontvangen"
 1 ster ,3 weken geleden,"1 ster is al teveel voor hoe onklantvriendelijk het personeel is. Per telefoongesprek word ik gewoon 3x opnieuw verbonden met iemand anders. Het is 1,5 uur verder en in heb nog steeds niet mijn volledige bestelling ontvangen."
 5 sterren ,3 weken geleden,"Domino’s doet zijn naam er aan, pizza was heerlijk warm en gebakken. De lift was defect maar de bezorger kwam toch naar boven met een glimlach Dankjwel mo<3"
 5 sterren ,2 maanden geleden,"Ik had niet goed opgelet en dacht dat mn pizza bezorgd zou worden maar ik moest hem afhalen. Toch kwam Mo hem brengen en omdat hij geen wisselgeld had, zei hij dat ik de bezorgkosten mocht laten zitten. Zo lief! Dankjewel MO!"
 5 sterren ,6 maanden geleden,"Heerlijke vegetarische pizza's die vaak ook in de aanbieding zijn voor 5 euro, zoals onze favorieten: Funghi, Margaritha en Caprese. Soms bestel ik ook de pizza's met vlees vanwege de lekkere ingrediënten, maar dan laat ik het vlees …"
 3 sterren ,een maand geleden,"Wel oké. Niet enorm goed. Pizza was lauw, erg vet. Smaak was verder in orde."
 5 sterren ,een jaar geleden,"Relatief koude pizza ontvangen en was eigenlijk niet heel tevreden maar het kon er mee door.
Word ik vandaag (12 uur na bestelling)  gebeld door een vriendelijke man als …"
 1 ster ,2 jaar geleden,"vegan bbq sauce pizza besteld, maar zat geen bbq sauce op... milkshake was voor de helft opgedronken door personeel en toen ik belde deed het personeel ook nog super onbeleefd en onklantvriendelijk: ‘oooojaa jaja milkshake is ook nog half …"
 1 ster ,2 jaar geleden,Jammer dat ik 1 ster moet geven om mijn mening te geven! Dit restaurant verdient deze ene ster zelfs niet. Ten eerste is er geen bbq chicken pizza ook geen pikante saus. Ik mocht van de medewerkers de kruk niet gebruiken omdat deze voor de …
 1 ster ,4 jaar geleden,"Bezorger kon eerst het adres niet vinden (zo moeilijk is mijn adres helemaal niet), vervolgens onze bestelling en 1 pizza zat overal in de doos verspreid. Meteen gebeld om een nieuwe pizza te krijgen, kwamen we na een paar minuten achter …"
